scheme,outer_fold,component,feature,loading,component_regression_coef
five_fold,0,1,V_t_91,0.01845511332099204,0.024160632855260808
five_fold,0,1,V_t_92,0.0182617340080862,0.024160632855260808
five_fold,0,1,V_t_93,0.01849461516992947,0.024160632855260808
five_fold,0,1,V_t_94,0.018618830419958255,0.024160632855260808
five_fold,0,1,V_t_95,0.018359132160240012,0.024160632855260808
five_fold,0,1,V_t_96,0.018597816046540108,0.024160632855260808
five_fold,0,1,V_t_97,0.01847185882416721,0.024160632855260808
five_fold,0,1,V_t_98,0.018172303116509136,0.024160632855260808
five_fold,0,1,V_t_99,0.018516378212238817,0.024160632855260808
five_fold,0,1,V_t_100,0.018559800988934994,0.024160632855260808
five_fold,0,1,V_t_101,0.017819644076129803,0.024160632855260808
five_fold,0,1,V_t_102,0.01006801690985438,0.024160632855260808
five_fold,0,1,V_t_103,-0.018158525462920447,0.024160632855260808
five_fold,0,1,V_t_104,-0.018715216162641497,0.024160632855260808
five_fold,0,1,V_t_105,-0.018636687229900587,0.024160632855260808
five_fold,0,1,V_t_106,-0.018466782938768803,0.024160632855260808
five_fold,0,1,V_t_107,-0.018017237007540612,0.024160632855260808
five_fold,0,1,V_t_108,-0.01860564323993598,0.024160632855260808
five_fold,0,1,V_t_109,-0.01850858323212374,0.024160632855260808
five_fold,0,1,V_t_110,-0.018641769360145326,0.024160632855260808
five_fold,0,1,V_t_111,-0.018472837571967007,0.024160632855260808
five_fold,0,1,V_t_112,-0.01853197113765218,0.024160632855260808
five_fold,0,1,V_t_113,-0.018378781264097234,0.024160632855260808
five_fold,0,1,V_t_114,-0.018415604382352808,0.024160632855260808
five_fold,0,1,V_t_115,-0.018561317766726797,0.024160632855260808
five_fold,0,1,V_t_116,-0.018589389887646086,0.024160632855260808
five_fold,0,1,V_t_117,-0.018683048229459584,0.024160632855260808
five_fold,0,1,V_t_118,-0.018532211099758042,0.024160632855260808
five_fold,0,1,V_t_119,-0.018521090162864077,0.024160632855260808
five_fold,0,1,V_t_120,-0.018550774103072203,0.024160632855260808
five_fold,0,1,V_t_121,-0.018716533287400926,0.024160632855260808
five_fold,0,1,V_t_122,-0.018487510416561756,0.024160632855260808
five_fold,0,1,V_t_123,-0.018330270340936705,0.024160632855260808
five_fold,0,1,V_t_124,-0.018280102290795037,0.024160632855260808
five_fold,0,1,V_t_125,-0.018602583557704867,0.024160632855260808
five_fold,0,1,V_t_126,-0.018355381533714105,0.024160632855260808
five_fold,0,1,V_t_127,-0.01810327801143053,0.024160632855260808
five_fold,0,1,V_t_128,0.014692914423761881,0.024160632855260808
five_fold,0,1,V_t_129,0.01761870256033347,0.024160632855260808
five_fold,0,1,V_t_130,0.01830925279576596,0.024160632855260808
five_fold,0,1,V_t_131,0.018439285880965616,0.024160632855260808
five_fold,0,1,V_t_132,0.018489864060656336,0.024160632855260808
five_fold,0,1,V_t_133,0.018442228631018718,0.024160632855260808
five_fold,0,1,V_t_134,0.01848167736163014,0.024160632855260808
five_fold,0,1,V_t_135,0.018375700899874777,0.024160632855260808
five_fold,0,1,V_t_136,0.018528162664061862,0.024160632855260808
five_fold,0,1,V_t_137,0.01857339566373586,0.024160632855260808
